Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Nov. 18, 2020","April 17, 2020",Class Workout,538,0,3904,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978441114
"Nov. 18, 2020","April 16, 2020",Indoor Sport / Other Activity,116,0,1324,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978441354
"Nov. 18, 2020","April 16, 2020",Run,1289,15.760321885440002,5310,5.615368746520321,2.2476114491370396,10.68496589952,26.694993599999997,,14477,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978441258
"Nov. 18, 2020","April 15, 2020",Class Workout,275,0,1993,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978441444
"Nov. 18, 2020","April 8, 2020",Indoor Sport / Other Activity,126,0,1440,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978441705
"Nov. 18, 2020","April 8, 2020",Run,1259,15.4999944,5083,5.465593434343434,1.826383917919351,10.977769946879999,32.851860940799995,,13904,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978441609
"Nov. 18, 2020","April 7, 2020",Class Workout,496,0,3600,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978441807
"Nov. 18, 2020","April 3, 2020",Indoor Sport / Other Activity,118,0,1354,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978441999
"Nov. 18, 2020","April 3, 2020",Run,1291,15.946700014080001,5157,5.389829644873936,1.4762723196532253,11.1320738496,40.642856179199995,,14132,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978441930
"Nov. 18, 2020","April 2, 2020",Class Workout,397,0,2884,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978442089
"Nov. 18, 2020","April 1, 2020",Class Workout,385,0,2791,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978442167
"Nov. 18, 2020","March 31, 2020",Indoor Sport / Other Activity,130,0,1495,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978442380
"Nov. 18, 2020","March 31, 2020",Run,1243,15.283827313920002,5044,5.500365366261035,1.697996202179273,10.90835894016,35.3357224704,,13787,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978442287
"Nov. 18, 2020","March 30, 2020",Class Workout,441,0,3200,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978442509
"Nov. 18, 2020","March 24, 2020",Indoor Sport / Other Activity,155,0,1779,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978442725
